Year,Collection Per Capita,Library
2015,2.70809,"GLENDALE LIBRARY, ARTS & CULTURE"
2016,2.5651,"GLENDALE LIBRARY, ARTS & CULTURE"
2017,2.46333,"GLENDALE LIBRARY, ARTS & CULTURE"
2018,3.80204,"GLENDALE LIBRARY, ARTS & CULTURE"
2019,6.5189,"GLENDALE LIBRARY, ARTS & CULTURE"
2010,2.73657,GLENDORA LIBRARY & CULTURAL CENTER
2011,2.68932,GLENDORA LIBRARY & CULTURAL CENTER
2012,2.60966,GLENDORA LIBRARY & CULTURAL CENTER
2013,2.55847,GLENDORA LIBRARY & CULTURAL CENTER
2014,2.52393,GLENDORA LIBRARY & CULTURAL CENTER
2015,2.54916,GLENDORA LIBRARY & CULTURAL CENTER
2016,2.37394,GLENDORA LIBRARY & CULTURAL CENTER
2017,2.53299,GLENDORA LIBRARY & CULTURAL CENTER
2018,4.8006,GLENDORA LIBRARY & CULTURAL CENTER
2019,5.06822,GLENDORA LIBRARY & CULTURAL CENTER
2010,,GOLETA VALLEY LIBRARY
2011,,GOLETA VALLEY LIBRARY
2012,,GOLETA VALLEY LIBRARY
2013,,GOLETA VALLEY LIBRARY
2014,,GOLETA VALLEY LIBRARY
2015,,GOLETA VALLEY LIBRARY
2016,,GOLETA VALLEY LIBRARY
2017,,GOLETA VALLEY LIBRARY
2018,3.09749,GOLETA VALLEY LIBRARY
2019,1.89013,GOLETA VALLEY LIBRARY
2010,20.96709,HARRISON MEMORIAL LIBRARY
2011,21.12543,HARRISON MEMORIAL LIBRARY
2012,20.52927,HARRISON MEMORIAL LIBRARY
2013,21.96776,HARRISON MEMORIAL LIBRARY
2014,34.49613,HARRISON MEMORIAL LIBRARY
2015,50.54657,HARRISON MEMORIAL LIBRARY
2016,39.56091,HARRISON MEMORIAL LIBRARY
2017,35.76853,HARRISON MEMORIAL LIBRARY
2018,104.31302,HARRISON MEMORIAL LIBRARY
2019,131.60091,HARRISON MEMORIAL LIBRARY
2010,1.15436,HAYWARD PUBLIC LIBRARY
2011,1.06652,HAYWARD PUBLIC LIBRARY
2012,1.14648,HAYWARD PUBLIC LIBRARY
2013,1.11596,HAYWARD PUBLIC LIBRARY
2014,1.19635,HAYWARD PUBLIC LIBRARY
2015,1.23682,HAYWARD PUBLIC LIBRARY
2016,1.17036,HAYWARD PUBLIC LIBRARY
2017,1.24401,HAYWARD PUBLIC LIBRARY
2018,1.47701,HAYWARD PUBLIC LIBRARY
2019,4.08411,HAYWARD PUBLIC LIBRARY
2010,1.47956,HEMET PUBLIC LIBRARY
2011,1.50842,HEMET PUBLIC LIBRARY
2012,1.2949,HEMET PUBLIC LIBRARY
2013,1.45708,HEMET PUBLIC LIBRARY
2014,1.28724,HEMET PUBLIC LIBRARY
2015,1.34897,HEMET PUBLIC LIBRARY
2016,1.3433,HEMET PUBLIC LIBRARY
2017,1.15717,HEMET PUBLIC LIBRARY
2018,1.20734,HEMET PUBLIC LIBRARY
2019,6.10242,HEMET PUBLIC LIBRARY
2010,2.18846,HUMBOLDT COUNTY LIBRARY
2011,2.23062,HUMBOLDT COUNTY LIBRARY
2012,2.28444,HUMBOLDT COUNTY LIBRARY
2013,2.32802,HUMBOLDT COUNTY LIBRARY
2014,2.30664,HUMBOLDT COUNTY LIBRARY
2015,2.25213,HUMBOLDT COUNTY LIBRARY
2016,2.16156,HUMBOLDT COUNTY LIBRARY
2017,2.23677,HUMBOLDT COUNTY LIBRARY
2018,2.31927,HUMBOLDT COUNTY LIBRARY
2019,2.29993,HUMBOLDT COUNTY LIBRARY
2010,2.21345,HUNTINGTON BEACH PUBLIC LIBRARY
2011,2.17266,HUNTINGTON BEACH PUBLIC LIBRARY
2012,2.11919,HUNTINGTON BEACH PUBLIC LIBRARY
2013,1.74523,HUNTINGTON BEACH PUBLIC LIBRARY
2014,1.7284,HUNTINGTON BEACH PUBLIC LIBRARY
2015,1.77878,HUNTINGTON BEACH PUBLIC LIBRARY
2016,1.7963,HUNTINGTON BEACH PUBLIC LIBRARY
2017,1.47915,HUNTINGTON BEACH PUBLIC LIBRARY
2018,3.23889,HUNTINGTON BEACH PUBLIC LIBRARY
2019,3.76754,HUNTINGTON BEACH PUBLIC LIBRARY
2010,0.85573,IMPERIAL COUNTY LIBRARY
2011,0.96961,IMPERIAL COUNTY LIBRARY
2012,1.06268,IMPERIAL COUNTY LIBRARY
2013,1.14638,IMPERIAL COUNTY LIBRARY
2014,1.0642,IMPERIAL COUNTY LIBRARY
2015,1.02121,IMPERIAL COUNTY LIBRARY
2016,1.1647,IMPERIAL COUNTY LIBRARY
2017,1.26036,IMPERIAL COUNTY LIBRARY
2018,1.18791,IMPERIAL COUNTY LIBRARY
2019,1.3132,IMPERIAL COUNTY LIBRARY
2010,2.19471,IMPERIAL PUBLIC LIBRARY
2011,2.33492,IMPERIAL PUBLIC LIBRARY
2012,2.22504,IMPERIAL PUBLIC LIBRARY
2013,2.22654,IMPERIAL PUBLIC LIBRARY
2014,2.23501,IMPERIAL PUBLIC LIBRARY
2015,2.16433,IMPERIAL PUBLIC LIBRARY
2016,2.18442,IMPERIAL PUBLIC LIBRARY
2017,2.12621,IMPERIAL PUBLIC LIBRARY
2018,2.08059,IMPERIAL PUBLIC LIBRARY
2019,2.14759,IMPERIAL PUBLIC LIBRARY
2010,3.82712,INGLEWOOD PUBLIC LIBRARY
2011,3.80739,INGLEWOOD PUBLIC LIBRARY
2012,2.83724,INGLEWOOD PUBLIC LIBRARY
2013,3.13804,INGLEWOOD PUBLIC LIBRARY
2014,2.90723,INGLEWOOD PUBLIC LIBRARY
2015,3.02843,INGLEWOOD PUBLIC LIBRARY
2016,2.39917,INGLEWOOD PUBLIC LIBRARY
2017,2.04879,INGLEWOOD PUBLIC LIBRARY
2018,1.75525,INGLEWOOD PUBLIC LIBRARY
2019,1.91868,INGLEWOOD PUBLIC LIBRARY
2010,6.14608,INYO COUNTY FREE LIBRARY
2011,6.27637,INYO COUNTY FREE LIBRARY
2012,6.32725,INYO COUNTY FREE LIBRARY
2013,6.41641,INYO COUNTY FREE LIBRARY
2014,6.67164,INYO COUNTY FREE LIBRARY
2015,9.2822,INYO COUNTY FREE LIBRARY
2016,10.62399,INYO COUNTY FREE LIBRARY
2017,13.64806,INYO COUNTY FREE LIBRARY
2018,14.70392,INYO COUNTY FREE LIBRARY
2019,15.83115,INYO COUNTY FREE LIBRARY
2010,14.18373,IRWINDALE PUBLIC LIBRARY
2011,14.41525,IRWINDALE PUBLIC LIBRARY
2012,13.66162,IRWINDALE PUBLIC LIBRARY
2013,13.3895,IRWINDALE PUBLIC LIBRARY
2014,14.09301,IRWINDALE PUBLIC LIBRARY
2015,15.21696,IRWINDALE PUBLIC LIBRARY
2016,53.65987,IRWINDALE PUBLIC LIBRARY
2017,52.93172,IRWINDALE PUBLIC LIBRARY
2018,27.94821,IRWINDALE PUBLIC LIBRARY
2019,25.56764,IRWINDALE PUBLIC LIBRARY
2010,1.37291,KERN COUNTY LIBRARY
2011,1.27176,KERN COUNTY LIBRARY
2012,1.23623,KERN COUNTY LIBRARY
2013,1.16953,KERN COUNTY LIBRARY
2014,1.15764,KERN COUNTY LIBRARY
2015,1.05115,KERN COUNTY LIBRARY
2016,0.91236,KERN COUNTY LIBRARY
2017,0.93324,KERN COUNTY LIBRARY
2018,1.2605,KERN COUNTY LIBRARY
2019,1.4353,KERN COUNTY LIBRARY
2010,1.08939,KINGS COUNTY LIBRARY
2011,1.09961,KINGS COUNTY LIBRARY
2012,1.07831,KINGS COUNTY LIBRARY
2013,1.16595,KINGS COUNTY LIBRARY
2014,1.18532,KINGS COUNTY LIBRARY
2015,1.11684,KINGS COUNTY LIBRARY
2016,1.19389,KINGS COUNTY LIBRARY
2017,1.19933,KINGS COUNTY LIBRARY
2018,1.73522,KINGS COUNTY LIBRARY
2019,1.81112,KINGS COUNTY LIBRARY
2010,1.93422,LA COUNTY LIBRARY
2011,1.89598,LA COUNTY LIBRARY
2012,1.82691,LA COUNTY LIBRARY
2013,1.7335,LA COUNTY LIBRARY
2014,1.74155,LA COUNTY LIBRARY
2015,1.71392,LA COUNTY LIBRARY
2016,1.73575,LA COUNTY LIBRARY
2017,1.68579,LA COUNTY LIBRARY
2018,1.64762,LA COUNTY LIBRARY
2019,1.63463,LA COUNTY LIBRARY
2010,2.45465,LAKE COUNTY LIBRARY
2011,2.54604,LAKE COUNTY LIBRARY
2012,2.24647,LAKE COUNTY LIBRARY
2013,2.35198,LAKE COUNTY LIBRARY
2014,2.3859,LAKE COUNTY LIBRARY
2015,5.24261,LAKE COUNTY LIBRARY
2016,7.09616,LAKE COUNTY LIBRARY
2017,7.91678,LAKE COUNTY LIBRARY
2018,8.72608,LAKE COUNTY LIBRARY
2019,11.77826,LAKE COUNTY LIBRARY
2010,5.17072,LARKSPUR PUBLIC LIBRARY
2011,5.10607,LARKSPUR PUBLIC LIBRARY
2012,4.80334,LARKSPUR PUBLIC LIBRARY
2013,8.1356,LARKSPUR PUBLIC LIBRARY
2014,8.90921,LARKSPUR PUBLIC LIBRARY
2015,9.8675,LARKSPUR PUBLIC LIBRARY
2016,10.73346,LARKSPUR PUBLIC LIBRARY
2017,15.01943,LARKSPUR PUBLIC LIBRARY
2018,16.56265,LARKSPUR PUBLIC LIBRARY
2019,17.4749,LARKSPUR PUBLIC LIBRARY
2010,1.34639,LASSEN LIBRARY DISTRICT
2011,1.39336,LASSEN LIBRARY DISTRICT
2012,1.4123,LASSEN LIBRARY DISTRICT
2013,3.21974,LASSEN LIBRARY DISTRICT
2014,3.13044,LASSEN LIBRARY DISTRICT
2015,3.40728,LASSEN LIBRARY DISTRICT
2016,3.34946,LASSEN LIBRARY DISTRICT
2017,3.1851,LASSEN LIBRARY DISTRICT
2018,4.1202,LASSEN LIBRARY DISTRICT
2019,5.12926,LASSEN LIBRARY DISTRICT
2010,2.78607,LINCOLN PUBLIC LIBRARY
2011,3.12056,LINCOLN PUBLIC LIBRARY
2012,3.34002,LINCOLN PUBLIC LIBRARY
2013,3.47491,LINCOLN PUBLIC LIBRARY
2014,,LINCOLN PUBLIC LIBRARY
2015,4.41015,LINCOLN PUBLIC LIBRARY
2016,2.86702,LINCOLN PUBLIC LIBRARY
2017,2.67988,LINCOLN PUBLIC LIBRARY
2018,10.11156,LINCOLN PUBLIC LIBRARY
2019,11.86226,LINCOLN PUBLIC LIBRARY
2010,3.0875,LIVERMORE PUBLIC LIBRARY
2011,2.75166,LIVERMORE PUBLIC LIBRARY
2012,3.04492,LIVERMORE PUBLIC LIBRARY
2013,2.91358,LIVERMORE PUBLIC LIBRARY
2014,2.95982,LIVERMORE PUBLIC LIBRARY
2015,3.02951,LIVERMORE PUBLIC LIBRARY
2016,2.94435,LIVERMORE PUBLIC LIBRARY
2017,3.8513,LIVERMORE PUBLIC LIBRARY
2018,3.95324,LIVERMORE PUBLIC LIBRARY
2019,4.11869,LIVERMORE PUBLIC LIBRARY
2010,1.96029,LODI PUBLIC LIBRARY
2011,1.97468,LODI PUBLIC LIBRARY
2012,1.92231,LODI PUBLIC LIBRARY
2013,1.90024,LODI PUBLIC LIBRARY
2014,,LODI PUBLIC LIBRARY
2015,,LODI PUBLIC LIBRARY
2016,2.01522,LODI PUBLIC LIBRARY
2017,1.95961,LODI PUBLIC LIBRARY
2018,1.44636,LODI PUBLIC LIBRARY
2019,1.51556,LODI PUBLIC LIBRARY
2010,1.51557,LOMPOC PUBLIC LIBRARY
2011,1.47511,LOMPOC PUBLIC LIBRARY
2012,1.57044,LOMPOC PUBLIC LIBRARY
2013,1.48242,LOMPOC PUBLIC LIBRARY
2014,1.5665,LOMPOC PUBLIC LIBRARY
2015,3.60691,LOMPOC PUBLIC LIBRARY
2016,2.76988,LOMPOC PUBLIC LIBRARY
2017,4.57982,LOMPOC PUBLIC LIBRARY
2018,4.60784,LOMPOC PUBLIC LIBRARY
2019,5.13175,LOMPOC PUBLIC LIBRARY
2010,1.72876,LONG BEACH PUBLIC LIBRARY
2011,1.9097,LONG BEACH PUBLIC LIBRARY
2012,1.73768,LONG BEACH PUBLIC LIBRARY
2013,1.79409,LONG BEACH PUBLIC LIBRARY
2014,1.74592,LONG BEACH PUBLIC LIBRARY
2015,1.59852,LONG BEACH PUBLIC LIBRARY
2016,1.58073,LONG BEACH PUBLIC LIBRARY
2017,1.83287,LONG BEACH PUBLIC LIBRARY
2018,1.55885,LONG BEACH PUBLIC LIBRARY
2019,1.58904,LONG BEACH PUBLIC LIBRARY
2010,,LOOMIS LIBRARY & COMMUNITY LEARNING CENTER
2011,,LOOMIS LIBRARY & COMMUNITY LEARNING CENTER
2012,,LOOMIS LIBRARY & COMMUNITY LEARNING CENTER
2013,,LOOMIS LIBRARY & COMMUNITY LEARNING CENTER
2014,,LOOMIS LIBRARY & COMMUNITY LEARNING CENTER
2015,,LOOMIS LIBRARY & COMMUNITY LEARNING CENTER
2016,,LOOMIS LIBRARY & COMMUNITY LEARNING CENTER
2017,,LOOMIS LIBRARY & COMMUNITY LEARNING CENTER
2018,1.97285,LOOMIS LIBRARY & COMMUNITY LEARNING CENTER
2019,2.15825,LOOMIS LIBRARY & COMMUNITY LEARNING CENTER
2010,1.83981,LOS ANGELES PUBLIC LIBRARY
2011,1.81115,LOS ANGELES PUBLIC LIBRARY
2012,1.81909,LOS ANGELES PUBLIC LIBRARY
2013,1.61007,LOS ANGELES PUBLIC LIBRARY
2014,1.62061,LOS ANGELES PUBLIC LIBRARY
2015,1.67267,LOS ANGELES PUBLIC LIBRARY
2016,1.66659,LOS ANGELES PUBLIC LIBRARY
2017,1.6608,LOS ANGELES PUBLIC LIBRARY
2018,1.68475,LOS ANGELES PUBLIC LIBRARY
2019,1.72434,LOS ANGELES PUBLIC LIBRARY
2010,5.61212,LOS GATOS LIBRARY
2011,4.94664,LOS GATOS LIBRARY
2012,6.03078,LOS GATOS LIBRARY
2013,7.56616,LOS GATOS LIBRARY
2014,10.4082,LOS GATOS LIBRARY
2015,10.35231,LOS GATOS LIBRARY
2016,12.94868,LOS GATOS LIBRARY
2017,22.32215,LOS GATOS LIBRARY
2018,18.01846,LOS GATOS LIBRARY
2019,17.55864,LOS GATOS LIBRARY
2010,1.91562,MADERA COUNTY LIBRARY
2011,1.70509,MADERA COUNTY LIBRARY
2012,1.78497,MADERA COUNTY LIBRARY
2013,1.75309,MADERA COUNTY LIBRARY
2014,1.67913,MADERA COUNTY LIBRARY
2015,1.55003,MADERA COUNTY LIBRARY
2016,1.54219,MADERA COUNTY LIBRARY
2017,1.50183,MADERA COUNTY LIBRARY
2018,1.34247,MADERA COUNTY LIBRARY
2019,4.0289,MADERA COUNTY LIBRARY
2010,3.36366,MARIN COUNTY FREE LIBRARY
2011,3.99848,MARIN COUNTY FREE LIBRARY
2012,3.49535,MARIN COUNTY FREE LIBRARY
2013,3.50767,MARIN COUNTY FREE LIBRARY
2014,4.11291,MARIN COUNTY FREE LIBRARY
2015,4.3287,MARIN COUNTY FREE LIBRARY
2016,4.46374,MARIN COUNTY FREE LIBRARY
2017,4.07536,MARIN COUNTY FREE LIBRARY
2018,4.002,MARIN COUNTY FREE LIBRARY
2019,4.24549,MARIN COUNTY FREE LIBRARY
2010,4.3163,MARIPOSA COUNTY LIBRARY
2011,3.17871,MARIPOSA COUNTY LIBRARY
2012,3.47165,MARIPOSA COUNTY LIBRARY
2013,3.33064,MARIPOSA COUNTY LIBRARY
2014,3.95116,MARIPOSA COUNTY LIBRARY
2015,4.24352,MARIPOSA COUNTY LIBRARY
2016,4.44291,MARIPOSA COUNTY LIBRARY
2017,4.83904,MARIPOSA COUNTY LIBRARY
2018,3.62016,MARIPOSA COUNTY LIBRARY
2019,4.92234,MARIPOSA COUNTY LIBRARY
2010,2.12735,MENDOCINO COUNTY LIBRARY
2011,2.13294,MENDOCINO COUNTY LIBRARY
2012,1.72489,MENDOCINO COUNTY LIBRARY
2013,1.9473,MENDOCINO COUNTY LIBRARY
2014,3.95469,MENDOCINO COUNTY LIBRARY
2015,3.58822,MENDOCINO COUNTY LIBRARY
2016,2.7981,MENDOCINO COUNTY LIBRARY
2017,2.85169,MENDOCINO COUNTY LIBRARY
2018,3.01835,MENDOCINO COUNTY LIBRARY
2019,3.56411,MENDOCINO COUNTY LIBRARY
2010,5.75333,MENLO PARK PUBLIC LIBRARY
2011,5.8496,MENLO PARK PUBLIC LIBRARY
2012,6.21711,MENLO PARK PUBLIC LIBRARY
2013,7.48629,MENLO PARK PUBLIC LIBRARY
2014,7.60367,MENLO PARK PUBLIC LIBRARY
2015,7.3215,MENLO PARK PUBLIC LIBRARY
2016,8.19664,MENLO PARK PUBLIC LIBRARY
2017,8.29168,MENLO PARK PUBLIC LIBRARY
2018,8.75552,MENLO PARK PUBLIC LIBRARY
2019,17.59732,MENLO PARK PUBLIC LIBRARY
2010,1.3639,MERCED COUNTY LIBRARY
2011,1.34695,MERCED COUNTY LIBRARY
2012,1.29622,MERCED COUNTY LIBRARY
2013,1.26218,MERCED COUNTY LIBRARY
2014,1.20597,MERCED COUNTY LIBRARY
2015,1.0797,MERCED COUNTY LIBRARY
2016,1.03257,MERCED COUNTY LIBRARY
2017,0.95203,MERCED COUNTY LIBRARY
2018,0.85812,MERCED COUNTY LIBRARY
2019,0.87746,MERCED COUNTY LIBRARY
2010,8.91852,MILL VALLEY PUBLIC LIBRARY
2011,8.77187,MILL VALLEY PUBLIC LIBRARY
2012,8.619,MILL VALLEY PUBLIC LIBRARY
2013,11.60735,MILL VALLEY PUBLIC LIBRARY
2014,12.34802,MILL VALLEY PUBLIC LIBRARY
2015,12.79234,MILL VALLEY PUBLIC LIBRARY
2016,13.5776,MILL VALLEY PUBLIC LIBRARY
2017,16.87863,MILL VALLEY PUBLIC LIBRARY
2018,18.46467,MILL VALLEY PUBLIC LIBRARY
2019,50.73327,MILL VALLEY PUBLIC LIBRARY
2010,1.82387,MISSION VIEJO LIBRARY
2011,1.85427,MISSION VIEJO LIBRARY
2012,1.95938,MISSION VIEJO LIBRARY
2013,1.91163,MISSION VIEJO LIBRARY
2014,1.90838,MISSION VIEJO LIBRARY
2015,1.93224,MISSION VIEJO LIBRARY
2016,1.92614,MISSION VIEJO LIBRARY
2017,2.141,MISSION VIEJO LIBRARY
2018,1.88981,MISSION VIEJO LIBRARY
2019,1.81501,MISSION VIEJO LIBRARY
2010,7.29037,MODOC COUNTY LIBRARY
2011,7.79375,MODOC COUNTY LIBRARY
2012,7.64713,MODOC COUNTY LIBRARY
2013,8.8655,MODOC COUNTY LIBRARY
2014,8.85637,MODOC COUNTY LIBRARY
2015,8.71633,MODOC COUNTY LIBRARY
2016,8.71065,MODOC COUNTY LIBRARY
2017,8.5155,MODOC COUNTY LIBRARY
2018,9.46615,MODOC COUNTY LIBRARY
2019,9.49979,MODOC COUNTY LIBRARY
2010,8.45212,MONO COUNTY FREE LIBRARY
2011,8.79425,MONO COUNTY FREE LIBRARY
2012,8.75181,MONO COUNTY FREE LIBRARY
2013,8.11645,MONO COUNTY FREE LIBRARY
2014,9.22865,MONO COUNTY FREE LIBRARY
2015,11.27593,MONO COUNTY FREE LIBRARY
2016,16.49165,MONO COUNTY FREE LIBRARY
2017,18.05687,MONO COUNTY FREE LIBRARY
2018,7.99603,MONO COUNTY FREE LIBRARY
2019,11.31677,MONO COUNTY FREE LIBRARY
2010,2.85493,MONROVIA PUBLIC LIBRARY
2011,3.08059,MONROVIA PUBLIC LIBRARY
2012,2.79947,MONROVIA PUBLIC LIBRARY
2013,3.73233,MONROVIA PUBLIC LIBRARY
2014,3.82717,MONROVIA PUBLIC LIBRARY
2015,3.45037,MONROVIA PUBLIC LIBRARY
2016,3.00787,MONROVIA PUBLIC LIBRARY
2017,3.08511,MONROVIA PUBLIC LIBRARY
2018,2.92006,MONROVIA PUBLIC LIBRARY
2019,3.04384,MONROVIA PUBLIC LIBRARY
2010,2.04237,MONTEREY COUNTY FREE LIBRARIES
2011,1.95955,MONTEREY COUNTY FREE LIBRARIES
2012,1.91406,MONTEREY COUNTY FREE LIBRARIES
2013,1.92809,MONTEREY COUNTY FREE LIBRARIES
2014,1.76396,MONTEREY COUNTY FREE LIBRARIES
2015,1.72033,MONTEREY COUNTY FREE LIBRARIES
2016,1.68169,MONTEREY COUNTY FREE LIBRARIES
2017,1.63957,MONTEREY COUNTY FREE LIBRARIES
2018,1.93149,MONTEREY COUNTY FREE LIBRARIES
2019,1.99455,MONTEREY COUNTY FREE LIBRARIES
2010,2.73335,MONTEREY PARK BRUGGEMEYER LIBRARY
2011,2.69804,MONTEREY PARK BRUGGEMEYER LIBRARY
2012,2.65931,MONTEREY PARK BRUGGEMEYER LIBRARY
2013,2.61525,MONTEREY PARK BRUGGEMEYER LIBRARY
2014,,MONTEREY PARK BRUGGEMEYER LIBRARY
2015,2.58887,MONTEREY PARK BRUGGEMEYER LIBRARY
2016,2.33589,MONTEREY PARK BRUGGEMEYER LIBRARY
2017,2.44835,MONTEREY PARK BRUGGEMEYER LIBRARY
2018,2.3965,MONTEREY PARK BRUGGEMEYER LIBRARY
2019,2.1892,MONTEREY PARK BRUGGEMEYER LIBRARY
2010,3.93655,MONTEREY PUBLIC LIBRARY
2011,4.03953,MONTEREY PUBLIC LIBRARY
2012,4.0704,MONTEREY PUBLIC LIBRARY
2013,4.63335,MONTEREY PUBLIC LIBRARY
2014,8.3593,MONTEREY PUBLIC LIBRARY
2015,6.41227,MONTEREY PUBLIC LIBRARY
2016,6.44741,MONTEREY PUBLIC LIBRARY
2017,17.45956,MONTEREY PUBLIC LIBRARY
2018,15.97089,MONTEREY PUBLIC LIBRARY
2019,9.00667,MONTEREY PUBLIC LIBRARY
2010,1.70524,MOORPARK CITY LIBRARY
2011,1.69951,MOORPARK CITY LIBRARY
2012,1.74688,MOORPARK CITY LIBRARY
2013,1.56573,MOORPARK CITY LIBRARY
2014,1.56196,MOORPARK CITY LIBRARY
2015,1.62116,MOORPARK CITY LIBRARY
2016,1.55686,MOORPARK CITY LIBRARY
2017,1.63319,MOORPARK CITY LIBRARY
2018,1.30759,MOORPARK CITY LIBRARY
2019,1.45127,MOORPARK CITY LIBRARY
2010,0.80837,MORENO VALLEY PUBLIC LIBRARY
2011,0.75245,MORENO VALLEY PUBLIC LIBRARY
2012,0.70916,MORENO VALLEY PUBLIC LIBRARY
2013,0.27985,MORENO VALLEY PUBLIC LIBRARY
2014,0.40898,MORENO VALLEY PUBLIC LIBRARY
2015,0.73198,MORENO VALLEY PUBLIC LIBRARY
2016,0.71543,MORENO VALLEY PUBLIC LIBRARY
2017,1.39038,MORENO VALLEY PUBLIC LIBRARY
2018,0.82656,MORENO VALLEY PUBLIC LIBRARY
2019,0.96364,MORENO VALLEY PUBLIC LIBRARY
2010,4.3944,MOUNTAIN VIEW PUBLIC LIBRARY
2011,4.44793,MOUNTAIN VIEW PUBLIC LIBRARY
2012,4.33006,MOUNTAIN VIEW PUBLIC LIBRARY
2013,4.42761,MOUNTAIN VIEW PUBLIC LIBRARY
2014,4.5754,MOUNTAIN VIEW PUBLIC LIBRARY
2015,4.96583,MOUNTAIN VIEW PUBLIC LIBRARY
2016,5.20698,MOUNTAIN VIEW PUBLIC LIBRARY
2017,7.84009,MOUNTAIN VIEW PUBLIC LIBRARY
2018,7.60166,MOUNTAIN VIEW PUBLIC LIBRARY
2019,8.53924,MOUNTAIN VIEW PUBLIC LIBRARY
2010,0.9799,MURRIETA PUBLIC LIBRARY
2011,0.98082,MURRIETA PUBLIC LIBRARY
2012,0.80139,MURRIETA PUBLIC LIBRARY
2013,0.80328,MURRIETA PUBLIC LIBRARY
2014,1.23952,MURRIETA PUBLIC LIBRARY
2015,1.269,MURRIETA PUBLIC LIBRARY
2016,1.40936,MURRIETA PUBLIC LIBRARY
2017,1.37025,MURRIETA PUBLIC LIBRARY
2018,1.69834,MURRIETA PUBLIC LIBRARY
2019,1.59013,MURRIETA PUBLIC LIBRARY
2010,1.77421,NAPA COUNTY LIBRARY
2011,1.55998,NAPA COUNTY LIBRARY
2012,1.36678,NAPA COUNTY LIBRARY
2013,1.43592,NAPA COUNTY LIBRARY
2014,1.27188,NAPA COUNTY LIBRARY
2015,1.21487,NAPA COUNTY LIBRARY
2016,1.21231,NAPA COUNTY LIBRARY
2017,1.25963,NAPA COUNTY LIBRARY
2018,3.84817,NAPA COUNTY LIBRARY
2019,5.10584,NAPA COUNTY LIBRARY
2010,4.02705,NATIONAL CITY PUBLIC LIBRARY
2011,4.04684,NATIONAL CITY PUBLIC LIBRARY
2012,4.20847,NATIONAL CITY PUBLIC LIBRARY
2013,4.22408,NATIONAL CITY PUBLIC LIBRARY
2014,4.03803,NATIONAL CITY PUBLIC LIBRARY
2015,3.91568,NATIONAL CITY PUBLIC LIBRARY
2016,3.92887,NATIONAL CITY PUBLIC LIBRARY
2017,4.98744,NATIONAL CITY PUBLIC LIBRARY
2018,5.11326,NATIONAL CITY PUBLIC LIBRARY
2019,12.52371,NATIONAL CITY PUBLIC LIBRARY
2010,2.22226,NEVADA COUNTY LIBRARY
2011,2.28351,NEVADA COUNTY LIBRARY
2012,2.22146,NEVADA COUNTY LIBRARY
2013,2.37882,NEVADA COUNTY LIBRARY
2014,2.22159,NEVADA COUNTY LIBRARY
2015,2.29066,NEVADA COUNTY LIBRARY
2016,2.30207,NEVADA COUNTY LIBRARY
2017,2.36315,NEVADA COUNTY LIBRARY
2018,2.33821,NEVADA COUNTY LIBRARY
2019,2.19213,NEVADA COUNTY LIBRARY
2010,4.2065,NEWPORT BEACH PUBLIC LIBRARY
2011,3.65706,NEWPORT BEACH PUBLIC LIBRARY
2012,3.42817,NEWPORT BEACH PUBLIC LIBRARY
2013,3.62554,NEWPORT BEACH PUBLIC LIBRARY
2014,3.59391,NEWPORT BEACH PUBLIC LIBRARY
2015,3.73962,NEWPORT BEACH PUBLIC LIBRARY
2016,3.72676,NEWPORT BEACH PUBLIC LIBRARY
2017,3.65605,NEWPORT BEACH PUBLIC LIBRARY
2018,3.55734,NEWPORT BEACH PUBLIC LIBRARY
2019,3.55106,NEWPORT BEACH PUBLIC LIBRARY
2010,3.83994,OAKLAND PUBLIC LIBRARY
2011,2.95727,OAKLAND PUBLIC LIBRARY
2012,2.90873,OAKLAND PUBLIC LIBRARY
2013,2.7897,OAKLAND PUBLIC LIBRARY
2014,2.59309,OAKLAND PUBLIC LIBRARY
2015,2.60037,OAKLAND PUBLIC LIBRARY
2016,2.5816,OAKLAND PUBLIC LIBRARY
2017,2.57483,OAKLAND PUBLIC LIBRARY
2018,3.14193,OAKLAND PUBLIC LIBRARY
2019,3.74072,OAKLAND PUBLIC LIBRARY
2010,1.41343,OCEANSIDE PUBLIC LIBRARY
2011,1.45515,OCEANSIDE PUBLIC LIBRARY
2012,1.33793,OCEANSIDE PUBLIC LIBRARY
2013,1.30137,OCEANSIDE PUBLIC LIBRARY
2014,1.06643,OCEANSIDE PUBLIC LIBRARY
2015,1.07551,OCEANSIDE PUBLIC LIBRARY
2016,1.10854,OCEANSIDE PUBLIC LIBRARY
2017,1.12655,OCEANSIDE PUBLIC LIBRARY
2018,1.23447,OCEANSIDE PUBLIC LIBRARY
2019,3.76692,OCEANSIDE PUBLIC LIBRARY
2010,1.7338,ONTARIO CITY LIBRARY
2011,1.73261,ONTARIO CITY LIBRARY
2012,1.83245,ONTARIO CITY LIBRARY
2013,1.99294,ONTARIO CITY LIBRARY
2014,2.17825,ONTARIO CITY LIBRARY
2015,1.73023,ONTARIO CITY LIBRARY
2016,2.34696,ONTARIO CITY LIBRARY
2017,1.98038,ONTARIO CITY LIBRARY
2018,1.6948,ONTARIO CITY LIBRARY
2019,1.51849,ONTARIO CITY LIBRARY
