Year,Collection Per Capita,Library
2010,1.61628,BANNING LIBRARY DISTRICT
2011,2.13447,BANNING LIBRARY DISTRICT
2012,2.08998,BANNING LIBRARY DISTRICT
2013,2.17503,BANNING LIBRARY DISTRICT
2014,3.9078,BANNING LIBRARY DISTRICT
2015,3.28762,BANNING LIBRARY DISTRICT
2016,4.48137,BANNING LIBRARY DISTRICT
2017,4.51878,BANNING LIBRARY DISTRICT
2018,4.95951,BANNING LIBRARY DISTRICT
2019,15.38448,BANNING LIBRARY DISTRICT
2010,1.08479,BEAUMONT LIBRARY DISTRICT
2011,1.11582,BEAUMONT LIBRARY DISTRICT
2012,1.1029,BEAUMONT LIBRARY DISTRICT
2013,1.08951,BEAUMONT LIBRARY DISTRICT
2014,0.98092,BEAUMONT LIBRARY DISTRICT
2015,1.63792,BEAUMONT LIBRARY DISTRICT
2016,1.74971,BEAUMONT LIBRARY DISTRICT
2017,2.57295,BEAUMONT LIBRARY DISTRICT
2018,2.48504,BEAUMONT LIBRARY DISTRICT
2019,7.14859,BEAUMONT LIBRARY DISTRICT
2010,7.23529,BELVEDERE-TIBURON LIBRARY
2011,7.0696,BELVEDERE-TIBURON LIBRARY
2012,11.79779,BELVEDERE-TIBURON LIBRARY
2013,10.72335,BELVEDERE-TIBURON LIBRARY
2014,16.7214,BELVEDERE-TIBURON LIBRARY
2015,17.73073,BELVEDERE-TIBURON LIBRARY
2016,36.57945,BELVEDERE-TIBURON LIBRARY
2017,44.49088,BELVEDERE-TIBURON LIBRARY
2018,57.49331,BELVEDERE-TIBURON LIBRARY
2019,68.6226,BELVEDERE-TIBURON LIBRARY
2010,4.37765,BENICIA PUBLIC LIBRARY
2011,5.61886,BENICIA PUBLIC LIBRARY
2012,3.97725,BENICIA PUBLIC LIBRARY
2013,4.24383,BENICIA PUBLIC LIBRARY
2014,4.25689,BENICIA PUBLIC LIBRARY
2015,3.88997,BENICIA PUBLIC LIBRARY
2016,3.82293,BENICIA PUBLIC LIBRARY
2017,7.81621,BENICIA PUBLIC LIBRARY
2018,8.65219,BENICIA PUBLIC LIBRARY
2019,9.48243,BENICIA PUBLIC LIBRARY
2010,5.04272,BERKELEY PUBLIC LIBRARY
2011,5.13064,BERKELEY PUBLIC LIBRARY
2012,4.86953,BERKELEY PUBLIC LIBRARY
2013,4.8522,BERKELEY PUBLIC LIBRARY
2014,5.42838,BERKELEY PUBLIC LIBRARY
2015,6.36986,BERKELEY PUBLIC LIBRARY
2016,6.79583,BERKELEY PUBLIC LIBRARY
2017,7.97328,BERKELEY PUBLIC LIBRARY
2018,7.98849,BERKELEY PUBLIC LIBRARY
2019,9.08368,BERKELEY PUBLIC LIBRARY
2010,7.84849,BEVERLY HILLS PUBLIC LIBRARY
2011,7.3605,BEVERLY HILLS PUBLIC LIBRARY
2012,7.07851,BEVERLY HILLS PUBLIC LIBRARY
2013,7.19661,BEVERLY HILLS PUBLIC LIBRARY
2014,6.33437,BEVERLY HILLS PUBLIC LIBRARY
2015,6.17024,BEVERLY HILLS PUBLIC LIBRARY
