Year,Circulation Per Capita,Library
2010,4.1392,BANNING LIBRARY DISTRICT
2011,3.25259,BANNING LIBRARY DISTRICT
2012,0.06286,BANNING LIBRARY DISTRICT
2013,0.05981,BANNING LIBRARY DISTRICT
2014,0.08803,BANNING LIBRARY DISTRICT
2015,7.17129,BANNING LIBRARY DISTRICT
2016,1.62107,BANNING LIBRARY DISTRICT
2017,1.54262,BANNING LIBRARY DISTRICT
2018,1.3983,BANNING LIBRARY DISTRICT
2019,0.86329,BANNING LIBRARY DISTRICT
2010,3.18297,BEAUMONT LIBRARY DISTRICT
2011,3.11216,BEAUMONT LIBRARY DISTRICT
2012,,BEAUMONT LIBRARY DISTRICT
2013,0.01127,BEAUMONT LIBRARY DISTRICT
2014,0.01129,BEAUMONT LIBRARY DISTRICT
2015,1.8304,BEAUMONT LIBRARY DISTRICT
2016,1.75646,BEAUMONT LIBRARY DISTRICT
2017,2.50417,BEAUMONT LIBRARY DISTRICT
2018,2.41669,BEAUMONT LIBRARY DISTRICT
2019,1.91123,BEAUMONT LIBRARY DISTRICT
2010,28.4264,BELVEDERE-TIBURON LIBRARY
2011,28.44784,BELVEDERE-TIBURON LIBRARY
2012,3.58262,BELVEDERE-TIBURON LIBRARY
2013,2.87706,BELVEDERE-TIBURON LIBRARY
2014,3.02615,BELVEDERE-TIBURON LIBRARY
2015,22.54488,BELVEDERE-TIBURON LIBRARY
2016,16.36336,BELVEDERE-TIBURON LIBRARY
2017,19.06586,BELVEDERE-TIBURON LIBRARY
2018,18.61546,BELVEDERE-TIBURON LIBRARY
2019,10.60545,BELVEDERE-TIBURON LIBRARY
2010,14.16528,BENICIA PUBLIC LIBRARY
2011,15.54278,BENICIA PUBLIC LIBRARY
2012,0.20878,BENICIA PUBLIC LIBRARY
2013,0.33977,BENICIA PUBLIC LIBRARY
2014,0.36794,BENICIA PUBLIC LIBRARY
2015,15.71666,BENICIA PUBLIC LIBRARY
2016,10.8976,BENICIA PUBLIC LIBRARY
2017,9.38816,BENICIA PUBLIC LIBRARY
2018,9.12938,BENICIA PUBLIC LIBRARY
2019,8.50911,BENICIA PUBLIC LIBRARY
2010,17.19399,BERKELEY PUBLIC LIBRARY
2011,15.3104,BERKELEY PUBLIC LIBRARY
2012,0.4352,BERKELEY PUBLIC LIBRARY
2013,1.24416,BERKELEY PUBLIC LIBRARY
