Year,Expense Per Capita,Library
2015,41.14759,"GLENDALE LIBRARY, ARTS & CULTURE"
2016,42.99683,"GLENDALE LIBRARY, ARTS & CULTURE"
2017,51.85765,"GLENDALE LIBRARY, ARTS & CULTURE"
2018,51.69525,"GLENDALE LIBRARY, ARTS & CULTURE"
2019,51.4849,"GLENDALE LIBRARY, ARTS & CULTURE"
2010,42.04329,GLENDORA LIBRARY & CULTURAL CENTER
2011,37.71867,GLENDORA LIBRARY & CULTURAL CENTER
2012,35.73738,GLENDORA LIBRARY & CULTURAL CENTER
2013,36.54625,GLENDORA LIBRARY & CULTURAL CENTER
2014,33.78934,GLENDORA LIBRARY & CULTURAL CENTER
2015,36.25515,GLENDORA LIBRARY & CULTURAL CENTER
2016,36.92387,GLENDORA LIBRARY & CULTURAL CENTER
2017,36.89488,GLENDORA LIBRARY & CULTURAL CENTER
2018,37.2733,GLENDORA LIBRARY & CULTURAL CENTER
2019,38.48393,GLENDORA LIBRARY & CULTURAL CENTER
2010,,GOLETA VALLEY LIBRARY
2011,,GOLETA VALLEY LIBRARY
2012,,GOLETA VALLEY LIBRARY
2013,,GOLETA VALLEY LIBRARY
2014,,GOLETA VALLEY LIBRARY
2015,,GOLETA VALLEY LIBRARY
2016,,GOLETA VALLEY LIBRARY
2017,,GOLETA VALLEY LIBRARY
2018,15.37955,GOLETA VALLEY LIBRARY
2019,22.53459,GOLETA VALLEY LIBRARY
2010,345.85688,HARRISON MEMORIAL LIBRARY
2011,301.38081,HARRISON MEMORIAL LIBRARY
2012,322.11523,HARRISON MEMORIAL LIBRARY
2013,331.93874,HARRISON MEMORIAL LIBRARY
2014,320.00454,HARRISON MEMORIAL LIBRARY
2015,308.17219,HARRISON MEMORIAL LIBRARY
2016,340.90916,HARRISON MEMORIAL LIBRARY
2017,312.75947,HARRISON MEMORIAL LIBRARY
2018,359.17331,HARRISON MEMORIAL LIBRARY
2019,344.72398,HARRISON MEMORIAL LIBRARY
2010,27.65528,HAYWARD PUBLIC LIBRARY
2011,26.1182,HAYWARD PUBLIC LIBRARY
2012,24.92517,HAYWARD PUBLIC LIBRARY
2013,26.19214,HAYWARD PUBLIC LIBRARY
2014,31.00803,HAYWARD PUBLIC LIBRARY
2015,27.75655,HAYWARD PUBLIC LIBRARY
2016,31.23453,HAYWARD PUBLIC LIBRARY
2017,30.88495,HAYWARD PUBLIC LIBRARY
2018,27.82346,HAYWARD PUBLIC LIBRARY
2019,35.31035,HAYWARD PUBLIC LIBRARY
2010,18.12013,HEMET PUBLIC LIBRARY
2011,15.19938,HEMET PUBLIC LIBRARY
2012,12.32104,HEMET PUBLIC LIBRARY
2013,17.57178,HEMET PUBLIC LIBRARY
2014,16.42948,HEMET PUBLIC LIBRARY
2015,18.69801,HEMET PUBLIC LIBRARY
2016,18.15948,HEMET PUBLIC LIBRARY
2017,18.11252,HEMET PUBLIC LIBRARY
2018,17.75857,HEMET PUBLIC LIBRARY
2019,18.51719,HEMET PUBLIC LIBRARY
2010,23.26536,HUMBOLDT COUNTY LIBRARY
2011,24.06787,HUMBOLDT COUNTY LIBRARY
2012,22.38145,HUMBOLDT COUNTY LIBRARY
2013,25.37844,HUMBOLDT COUNTY LIBRARY
2014,25.75377,HUMBOLDT COUNTY LIBRARY
2015,26.07197,HUMBOLDT COUNTY LIBRARY
2016,26.62562,HUMBOLDT COUNTY LIBRARY
2017,22.49665,HUMBOLDT COUNTY LIBRARY
2018,27.13623,HUMBOLDT COUNTY LIBRARY
2019,29.92195,HUMBOLDT COUNTY LIBRARY
2010,23.4272,HUNTINGTON BEACH PUBLIC LIBRARY
2011,20.53691,HUNTINGTON BEACH PUBLIC LIBRARY
2012,21.00243,HUNTINGTON BEACH PUBLIC LIBRARY
2013,21.54088,HUNTINGTON BEACH PUBLIC LIBRARY
2014,22.69389,HUNTINGTON BEACH PUBLIC LIBRARY
2015,24.32823,HUNTINGTON BEACH PUBLIC LIBRARY
2016,23.89608,HUNTINGTON BEACH PUBLIC LIBRARY
2017,20.66995,HUNTINGTON BEACH PUBLIC LIBRARY
2018,29.63098,HUNTINGTON BEACH PUBLIC LIBRARY
2019,30.87421,HUNTINGTON BEACH PUBLIC LIBRARY
2010,8.71922,IMPERIAL COUNTY LIBRARY
2011,7.78711,IMPERIAL COUNTY LIBRARY
2012,8.38372,IMPERIAL COUNTY LIBRARY
2013,8.62528,IMPERIAL COUNTY LIBRARY
2014,9.93322,IMPERIAL COUNTY LIBRARY
2015,10.06441,IMPERIAL COUNTY LIBRARY
2016,9.42912,IMPERIAL COUNTY LIBRARY
2017,11.07906,IMPERIAL COUNTY LIBRARY
2018,11.35634,IMPERIAL COUNTY LIBRARY
2019,16.05374,IMPERIAL COUNTY LIBRARY
2010,11.76957,IMPERIAL PUBLIC LIBRARY
2011,11.36162,IMPERIAL PUBLIC LIBRARY
2012,10.71544,IMPERIAL PUBLIC LIBRARY
2013,10.07894,IMPERIAL PUBLIC LIBRARY
2014,9.74166,IMPERIAL PUBLIC LIBRARY
2015,10.39719,IMPERIAL PUBLIC LIBRARY
2016,10.95653,IMPERIAL PUBLIC LIBRARY
2017,11.05694,IMPERIAL PUBLIC LIBRARY
2018,9.97893,IMPERIAL PUBLIC LIBRARY
2019,10.90802,IMPERIAL PUBLIC LIBRARY
2010,24.01491,INGLEWOOD PUBLIC LIBRARY
2011,22.98366,INGLEWOOD PUBLIC LIBRARY
2012,24.73459,INGLEWOOD PUBLIC LIBRARY
2013,22.96304,INGLEWOOD PUBLIC LIBRARY
2014,23.53308,INGLEWOOD PUBLIC LIBRARY
2015,23.69252,INGLEWOOD PUBLIC LIBRARY
2016,28.20242,INGLEWOOD PUBLIC LIBRARY
2017,37.98205,INGLEWOOD PUBLIC LIBRARY
2018,37.66767,INGLEWOOD PUBLIC LIBRARY
2019,27.02182,INGLEWOOD PUBLIC LIBRARY
2010,32.77396,INYO COUNTY FREE LIBRARY
2011,32.0949,INYO COUNTY FREE LIBRARY
2012,29.38405,INYO COUNTY FREE LIBRARY
2013,25.15605,INYO COUNTY FREE LIBRARY
2014,24.29299,INYO COUNTY FREE LIBRARY
2015,25.47249,INYO COUNTY FREE LIBRARY
2016,25.70632,INYO COUNTY FREE LIBRARY
2017,25.22081,INYO COUNTY FREE LIBRARY
2018,26.56037,INYO COUNTY FREE LIBRARY
2019,29.44641,INYO COUNTY FREE LIBRARY
2010,251.67181,IRWINDALE PUBLIC LIBRARY
2011,269.89689,IRWINDALE PUBLIC LIBRARY
2012,260.43329,IRWINDALE PUBLIC LIBRARY
2013,260.45634,IRWINDALE PUBLIC LIBRARY
2014,302.43788,IRWINDALE PUBLIC LIBRARY
2015,291.20141,IRWINDALE PUBLIC LIBRARY
2016,237.24947,IRWINDALE PUBLIC LIBRARY
2017,262.27241,IRWINDALE PUBLIC LIBRARY
2018,254.83732,IRWINDALE PUBLIC LIBRARY
2019,265.33054,IRWINDALE PUBLIC LIBRARY
2010,9.68653,KERN COUNTY LIBRARY
2011,8.85517,KERN COUNTY LIBRARY
2012,8.59414,KERN COUNTY LIBRARY
2013,8.72235,KERN COUNTY LIBRARY
2014,8.97686,KERN COUNTY LIBRARY
2015,8.56267,KERN COUNTY LIBRARY
2016,8.69363,KERN COUNTY LIBRARY
2017,7.60812,KERN COUNTY LIBRARY
2018,7.35112,KERN COUNTY LIBRARY
2019,7.36224,KERN COUNTY LIBRARY
2010,14.91087,KINGS COUNTY LIBRARY
2011,13.60881,KINGS COUNTY LIBRARY
2012,15.23201,KINGS COUNTY LIBRARY
2013,13.33564,KINGS COUNTY LIBRARY
2014,14.45356,KINGS COUNTY LIBRARY
2015,14.4766,KINGS COUNTY LIBRARY
2016,14.37677,KINGS COUNTY LIBRARY
2017,15.97125,KINGS COUNTY LIBRARY
2018,15.99757,KINGS COUNTY LIBRARY
2019,15.63113,KINGS COUNTY LIBRARY
2010,34.7078,LA COUNTY LIBRARY
2011,33.85515,LA COUNTY LIBRARY
2012,34.53023,LA COUNTY LIBRARY
2013,36.60321,LA COUNTY LIBRARY
2014,37.37824,LA COUNTY LIBRARY
2015,38.82876,LA COUNTY LIBRARY
2016,38.55332,LA COUNTY LIBRARY
2017,43.86693,LA COUNTY LIBRARY
2018,45.37635,LA COUNTY LIBRARY
2019,45.80787,LA COUNTY LIBRARY
2010,16.52856,LAKE COUNTY LIBRARY
2011,16.34347,LAKE COUNTY LIBRARY
2012,15.62052,LAKE COUNTY LIBRARY
2013,14.11504,LAKE COUNTY LIBRARY
2014,15.69973,LAKE COUNTY LIBRARY
2015,15.29475,LAKE COUNTY LIBRARY
2016,16.12591,LAKE COUNTY LIBRARY
2017,15.92884,LAKE COUNTY LIBRARY
2018,16.71424,LAKE COUNTY LIBRARY
2019,16.78075,LAKE COUNTY LIBRARY
2010,60.15074,LARKSPUR PUBLIC LIBRARY
2011,60.4237,LARKSPUR PUBLIC LIBRARY
2012,67.30089,LARKSPUR PUBLIC LIBRARY
2013,66.95472,LARKSPUR PUBLIC LIBRARY
2014,65.54734,LARKSPUR PUBLIC LIBRARY
2015,61.85713,LARKSPUR PUBLIC LIBRARY
2016,66.85126,LARKSPUR PUBLIC LIBRARY
2017,67.63946,LARKSPUR PUBLIC LIBRARY
2018,69.3875,LARKSPUR PUBLIC LIBRARY
2019,74.95005,LARKSPUR PUBLIC LIBRARY
2010,5.13668,LASSEN LIBRARY DISTRICT
2011,3.66081,LASSEN LIBRARY DISTRICT
2012,4.16013,LASSEN LIBRARY DISTRICT
2013,8.58994,LASSEN LIBRARY DISTRICT
2014,7.77362,LASSEN LIBRARY DISTRICT
2015,8.41412,LASSEN LIBRARY DISTRICT
2016,12.79363,LASSEN LIBRARY DISTRICT
2017,15.71332,LASSEN LIBRARY DISTRICT
2018,16.78625,LASSEN LIBRARY DISTRICT
2019,18.7907,LASSEN LIBRARY DISTRICT
2010,18.82681,LINCOLN PUBLIC LIBRARY
2011,11.39982,LINCOLN PUBLIC LIBRARY
2012,8.64469,LINCOLN PUBLIC LIBRARY
2013,9.61534,LINCOLN PUBLIC LIBRARY
2014,3.2354,LINCOLN PUBLIC LIBRARY
2015,11.32301,LINCOLN PUBLIC LIBRARY
2016,11.7836,LINCOLN PUBLIC LIBRARY
2017,12.39186,LINCOLN PUBLIC LIBRARY
2018,15.7707,LINCOLN PUBLIC LIBRARY
2019,16.20273,LINCOLN PUBLIC LIBRARY
2010,54.39553,LIVERMORE PUBLIC LIBRARY
2011,50.57256,LIVERMORE PUBLIC LIBRARY
2012,45.41865,LIVERMORE PUBLIC LIBRARY
2013,50.61189,LIVERMORE PUBLIC LIBRARY
2014,51.81025,LIVERMORE PUBLIC LIBRARY
2015,51.51756,LIVERMORE PUBLIC LIBRARY
2016,58.98378,LIVERMORE PUBLIC LIBRARY
2017,61.68968,LIVERMORE PUBLIC LIBRARY
2018,62.23465,LIVERMORE PUBLIC LIBRARY
2019,64.26333,LIVERMORE PUBLIC LIBRARY
2010,21.82096,LODI PUBLIC LIBRARY
2011,21.97702,LODI PUBLIC LIBRARY
2012,21.98699,LODI PUBLIC LIBRARY
2013,19.91878,LODI PUBLIC LIBRARY
2014,,LODI PUBLIC LIBRARY
2015,,LODI PUBLIC LIBRARY
2016,26.86628,LODI PUBLIC LIBRARY
2017,20.62924,LODI PUBLIC LIBRARY
2018,20.53344,LODI PUBLIC LIBRARY
2019,22.47369,LODI PUBLIC LIBRARY
2010,18.26812,LOMPOC PUBLIC LIBRARY
2011,16.21301,LOMPOC PUBLIC LIBRARY
2012,15.34797,LOMPOC PUBLIC LIBRARY
2013,16.00602,LOMPOC PUBLIC LIBRARY
2014,15.49327,LOMPOC PUBLIC LIBRARY
2015,13.3941,LOMPOC PUBLIC LIBRARY
2016,21.15799,LOMPOC PUBLIC LIBRARY
2017,24.51888,LOMPOC PUBLIC LIBRARY
2018,22.97272,LOMPOC PUBLIC LIBRARY
2019,24.87123,LOMPOC PUBLIC LIBRARY
2010,26.67824,LONG BEACH PUBLIC LIBRARY
2011,27.01452,LONG BEACH PUBLIC LIBRARY
2012,28.84387,LONG BEACH PUBLIC LIBRARY
2013,30.37568,LONG BEACH PUBLIC LIBRARY
2014,27.89407,LONG BEACH PUBLIC LIBRARY
2015,31.64345,LONG BEACH PUBLIC LIBRARY
2016,29.78397,LONG BEACH PUBLIC LIBRARY
2017,30.00818,LONG BEACH PUBLIC LIBRARY
2018,33.83672,LONG BEACH PUBLIC LIBRARY
2019,30.64707,LONG BEACH PUBLIC LIBRARY
2010,,LOOMIS LIBRARY & COMMUNITY LEARNING CENTER
2011,,LOOMIS LIBRARY & COMMUNITY LEARNING CENTER
2012,,LOOMIS LIBRARY & COMMUNITY LEARNING CENTER
2013,,LOOMIS LIBRARY & COMMUNITY LEARNING CENTER
2014,,LOOMIS LIBRARY & COMMUNITY LEARNING CENTER
2015,,LOOMIS LIBRARY & COMMUNITY LEARNING CENTER
2016,,LOOMIS LIBRARY & COMMUNITY LEARNING CENTER
2017,,LOOMIS LIBRARY & COMMUNITY LEARNING CENTER
2018,33.42617,LOOMIS LIBRARY & COMMUNITY LEARNING CENTER
2019,42.81054,LOOMIS LIBRARY & COMMUNITY LEARNING CENTER
2010,29.67666,LOS ANGELES PUBLIC LIBRARY
2011,25.03967,LOS ANGELES PUBLIC LIBRARY
2012,27.68149,LOS ANGELES PUBLIC LIBRARY
2013,31.77493,LOS ANGELES PUBLIC LIBRARY
2014,31.60177,LOS ANGELES PUBLIC LIBRARY
2015,37.80794,LOS ANGELES PUBLIC LIBRARY
2016,38.69416,LOS ANGELES PUBLIC LIBRARY
2017,42.36467,LOS ANGELES PUBLIC LIBRARY
2018,45.29279,LOS ANGELES PUBLIC LIBRARY
2019,48.03222,LOS ANGELES PUBLIC LIBRARY
2010,54.39213,LOS GATOS LIBRARY
2011,58.51243,LOS GATOS LIBRARY
2012,65.92713,LOS GATOS LIBRARY
2013,71.90918,LOS GATOS LIBRARY
2014,72.34106,LOS GATOS LIBRARY
2015,70.70975,LOS GATOS LIBRARY
2016,85.33538,LOS GATOS LIBRARY
2017,92.76997,LOS GATOS LIBRARY
2018,80.66777,LOS GATOS LIBRARY
2019,94.34171,LOS GATOS LIBRARY
2010,7.19644,MADERA COUNTY LIBRARY
2011,5.18888,MADERA COUNTY LIBRARY
2012,5.92229,MADERA COUNTY LIBRARY
2013,6.57895,MADERA COUNTY LIBRARY
2014,6.70311,MADERA COUNTY LIBRARY
2015,6.62611,MADERA COUNTY LIBRARY
2016,8.74339,MADERA COUNTY LIBRARY
2017,9.01431,MADERA COUNTY LIBRARY
2018,9.81998,MADERA COUNTY LIBRARY
2019,10.66742,MADERA COUNTY LIBRARY
2010,95.49103,MARIN COUNTY FREE LIBRARY
2011,88.55785,MARIN COUNTY FREE LIBRARY
2012,100.38441,MARIN COUNTY FREE LIBRARY
2013,99.01367,MARIN COUNTY FREE LIBRARY
2014,106.46891,MARIN COUNTY FREE LIBRARY
2015,108.54091,MARIN COUNTY FREE LIBRARY
2016,108.35267,MARIN COUNTY FREE LIBRARY
2017,113.75453,MARIN COUNTY FREE LIBRARY
2018,109.6019,MARIN COUNTY FREE LIBRARY
2019,128.63866,MARIN COUNTY FREE LIBRARY
2010,24.05662,MARIPOSA COUNTY LIBRARY
2011,28.32976,MARIPOSA COUNTY LIBRARY
2012,27.71092,MARIPOSA COUNTY LIBRARY
2013,28.07305,MARIPOSA COUNTY LIBRARY
2014,28.73138,MARIPOSA COUNTY LIBRARY
2015,29.41307,MARIPOSA COUNTY LIBRARY
2016,30.068,MARIPOSA COUNTY LIBRARY
2017,31.91334,MARIPOSA COUNTY LIBRARY
2018,32.08213,MARIPOSA COUNTY LIBRARY
2019,33.80428,MARIPOSA COUNTY LIBRARY
2010,17.16776,MENDOCINO COUNTY LIBRARY
2011,15.38641,MENDOCINO COUNTY LIBRARY
2012,23.57399,MENDOCINO COUNTY LIBRARY
2013,26.68805,MENDOCINO COUNTY LIBRARY
2014,34.27608,MENDOCINO COUNTY LIBRARY
2015,30.32171,MENDOCINO COUNTY LIBRARY
2016,33.6785,MENDOCINO COUNTY LIBRARY
2017,39.43665,MENDOCINO COUNTY LIBRARY
2018,42.44143,MENDOCINO COUNTY LIBRARY
2019,42.93762,MENDOCINO COUNTY LIBRARY
2010,66.94483,MENLO PARK PUBLIC LIBRARY
2011,65.24735,MENLO PARK PUBLIC LIBRARY
2012,72.32268,MENLO PARK PUBLIC LIBRARY
2013,69.08764,MENLO PARK PUBLIC LIBRARY
2014,74.83112,MENLO PARK PUBLIC LIBRARY
2015,73.84015,MENLO PARK PUBLIC LIBRARY
2016,70.55969,MENLO PARK PUBLIC LIBRARY
2017,77.6158,MENLO PARK PUBLIC LIBRARY
2018,97.86287,MENLO PARK PUBLIC LIBRARY
2019,107.66889,MENLO PARK PUBLIC LIBRARY
2010,10.72201,MERCED COUNTY LIBRARY
2011,10.25062,MERCED COUNTY LIBRARY
2012,9.07952,MERCED COUNTY LIBRARY
2013,8.05581,MERCED COUNTY LIBRARY
2014,9.4116,MERCED COUNTY LIBRARY
2015,10.64195,MERCED COUNTY LIBRARY
2016,10.64663,MERCED COUNTY LIBRARY
2017,10.98793,MERCED COUNTY LIBRARY
2018,11.8738,MERCED COUNTY LIBRARY
2019,11.95095,MERCED COUNTY LIBRARY
2010,134.85317,MILL VALLEY PUBLIC LIBRARY
2011,143.29332,MILL VALLEY PUBLIC LIBRARY
2012,146.37973,MILL VALLEY PUBLIC LIBRARY
2013,154.20671,MILL VALLEY PUBLIC LIBRARY
2014,153.02237,MILL VALLEY PUBLIC LIBRARY
2015,167.48226,MILL VALLEY PUBLIC LIBRARY
2016,164.22723,MILL VALLEY PUBLIC LIBRARY
2017,170.67954,MILL VALLEY PUBLIC LIBRARY
2018,180.92893,MILL VALLEY PUBLIC LIBRARY
2019,167.49857,MILL VALLEY PUBLIC LIBRARY
2010,34.32648,MISSION VIEJO LIBRARY
2011,34.46876,MISSION VIEJO LIBRARY
2012,34.27112,MISSION VIEJO LIBRARY
2013,37.23301,MISSION VIEJO LIBRARY
2014,35.50238,MISSION VIEJO LIBRARY
2015,39.90284,MISSION VIEJO LIBRARY
2016,32.75663,MISSION VIEJO LIBRARY
2017,40.159,MISSION VIEJO LIBRARY
2018,39.4701,MISSION VIEJO LIBRARY
2019,33.39041,MISSION VIEJO LIBRARY
2010,37.40278,MODOC COUNTY LIBRARY
2011,30.1498,MODOC COUNTY LIBRARY
2012,28.92313,MODOC COUNTY LIBRARY
2013,28.27074,MODOC COUNTY LIBRARY
2014,29.76763,MODOC COUNTY LIBRARY
2015,31.52117,MODOC COUNTY LIBRARY
2016,29.9738,MODOC COUNTY LIBRARY
2017,28.74594,MODOC COUNTY LIBRARY
2018,27.35753,MODOC COUNTY LIBRARY
2019,28.12445,MODOC COUNTY LIBRARY
2010,79.85784,MONO COUNTY FREE LIBRARY
2011,77.00563,MONO COUNTY FREE LIBRARY
2012,73.18574,MONO COUNTY FREE LIBRARY
2013,75.73351,MONO COUNTY FREE LIBRARY
2014,72.03818,MONO COUNTY FREE LIBRARY
2015,87.70323,MONO COUNTY FREE LIBRARY
2016,78.76774,MONO COUNTY FREE LIBRARY
2017,80.99081,MONO COUNTY FREE LIBRARY
2018,78.44712,MONO COUNTY FREE LIBRARY
2019,89.92424,MONO COUNTY FREE LIBRARY
2010,42.13703,MONROVIA PUBLIC LIBRARY
2011,43.20347,MONROVIA PUBLIC LIBRARY
2012,43.42549,MONROVIA PUBLIC LIBRARY
2013,50.2424,MONROVIA PUBLIC LIBRARY
2014,48.67682,MONROVIA PUBLIC LIBRARY
2015,55.38589,MONROVIA PUBLIC LIBRARY
2016,64.12003,MONROVIA PUBLIC LIBRARY
2017,62.66283,MONROVIA PUBLIC LIBRARY
2018,63.39843,MONROVIA PUBLIC LIBRARY
2019,65.19444,MONROVIA PUBLIC LIBRARY
2010,34.75745,MONTEREY COUNTY FREE LIBRARIES
2011,32.67656,MONTEREY COUNTY FREE LIBRARIES
2012,32.97866,MONTEREY COUNTY FREE LIBRARIES
2013,34.23966,MONTEREY COUNTY FREE LIBRARIES
2014,37.73975,MONTEREY COUNTY FREE LIBRARIES
2015,36.63132,MONTEREY COUNTY FREE LIBRARIES
2016,40.65374,MONTEREY COUNTY FREE LIBRARIES
2017,35.96489,MONTEREY COUNTY FREE LIBRARIES
2018,38.08134,MONTEREY COUNTY FREE LIBRARIES
2019,42.1119,MONTEREY COUNTY FREE LIBRARIES
2010,37.77788,MONTEREY PARK BRUGGEMEYER LIBRARY
2011,33.09228,MONTEREY PARK BRUGGEMEYER LIBRARY
2012,27.88969,MONTEREY PARK BRUGGEMEYER LIBRARY
2013,28.75617,MONTEREY PARK BRUGGEMEYER LIBRARY
2014,,MONTEREY PARK BRUGGEMEYER LIBRARY
2015,33.56972,MONTEREY PARK BRUGGEMEYER LIBRARY
2016,34.70318,MONTEREY PARK BRUGGEMEYER LIBRARY
2017,46.39362,MONTEREY PARK BRUGGEMEYER LIBRARY
2018,44.08973,MONTEREY PARK BRUGGEMEYER LIBRARY
2019,42.24578,MONTEREY PARK BRUGGEMEYER LIBRARY
2010,98.5377,MONTEREY PUBLIC LIBRARY
2011,102.37393,MONTEREY PUBLIC LIBRARY
2012,100.63935,MONTEREY PUBLIC LIBRARY
2013,102.06029,MONTEREY PUBLIC LIBRARY
2014,105.69286,MONTEREY PUBLIC LIBRARY
2015,102.0022,MONTEREY PUBLIC LIBRARY
2016,104.17847,MONTEREY PUBLIC LIBRARY
2017,110.98224,MONTEREY PUBLIC LIBRARY
2018,112.79285,MONTEREY PUBLIC LIBRARY
2019,99.7104,MONTEREY PUBLIC LIBRARY
2010,22.79712,MOORPARK CITY LIBRARY
2011,17.38443,MOORPARK CITY LIBRARY
2012,18.34475,MOORPARK CITY LIBRARY
2013,5.29799,MOORPARK CITY LIBRARY
2014,24.64523,MOORPARK CITY LIBRARY
2015,23.99564,MOORPARK CITY LIBRARY
2016,22.29282,MOORPARK CITY LIBRARY
2017,26.61362,MOORPARK CITY LIBRARY
2018,28.43058,MOORPARK CITY LIBRARY
2019,24.13154,MOORPARK CITY LIBRARY
2010,9.49021,MORENO VALLEY PUBLIC LIBRARY
2011,9.69268,MORENO VALLEY PUBLIC LIBRARY
2012,8.98101,MORENO VALLEY PUBLIC LIBRARY
2013,6.87035,MORENO VALLEY PUBLIC LIBRARY
2014,8.7075,MORENO VALLEY PUBLIC LIBRARY
2015,8.59022,MORENO VALLEY PUBLIC LIBRARY
2016,8.81838,MORENO VALLEY PUBLIC LIBRARY
2017,9.13579,MORENO VALLEY PUBLIC LIBRARY
2018,11.27256,MORENO VALLEY PUBLIC LIBRARY
2019,10.73831,MORENO VALLEY PUBLIC LIBRARY
2010,60.77765,MOUNTAIN VIEW PUBLIC LIBRARY
2011,59.56918,MOUNTAIN VIEW PUBLIC LIBRARY
2012,60.22422,MOUNTAIN VIEW PUBLIC LIBRARY
2013,60.57023,MOUNTAIN VIEW PUBLIC LIBRARY
2014,62.84743,MOUNTAIN VIEW PUBLIC LIBRARY
2015,65.66851,MOUNTAIN VIEW PUBLIC LIBRARY
2016,66.12814,MOUNTAIN VIEW PUBLIC LIBRARY
2017,66.33546,MOUNTAIN VIEW PUBLIC LIBRARY
2018,68.74419,MOUNTAIN VIEW PUBLIC LIBRARY
2019,71.87087,MOUNTAIN VIEW PUBLIC LIBRARY
2010,17.70603,MURRIETA PUBLIC LIBRARY
2011,16.83008,MURRIETA PUBLIC LIBRARY
2012,17.89933,MURRIETA PUBLIC LIBRARY
2013,17.44214,MURRIETA PUBLIC LIBRARY
2014,17.93813,MURRIETA PUBLIC LIBRARY
2015,17.60154,MURRIETA PUBLIC LIBRARY
2016,18.2793,MURRIETA PUBLIC LIBRARY
2017,20.05786,MURRIETA PUBLIC LIBRARY
2018,18.9475,MURRIETA PUBLIC LIBRARY
2019,20.85994,MURRIETA PUBLIC LIBRARY
2010,51.08168,NAPA COUNTY LIBRARY
2011,49.64019,NAPA COUNTY LIBRARY
2012,51.69469,NAPA COUNTY LIBRARY
2013,51.41633,NAPA COUNTY LIBRARY
2014,84.7545,NAPA COUNTY LIBRARY
2015,65.50925,NAPA COUNTY LIBRARY
2016,81.58977,NAPA COUNTY LIBRARY
2017,62.16134,NAPA COUNTY LIBRARY
2018,56.25219,NAPA COUNTY LIBRARY
2019,63.7461,NAPA COUNTY LIBRARY
2010,42.03562,NATIONAL CITY PUBLIC LIBRARY
2011,41.78132,NATIONAL CITY PUBLIC LIBRARY
2012,47.62876,NATIONAL CITY PUBLIC LIBRARY
2013,45.724,NATIONAL CITY PUBLIC LIBRARY
2014,30.20076,NATIONAL CITY PUBLIC LIBRARY
2015,34.23659,NATIONAL CITY PUBLIC LIBRARY
2016,34.56739,NATIONAL CITY PUBLIC LIBRARY
2017,34.19492,NATIONAL CITY PUBLIC LIBRARY
2018,34.97989,NATIONAL CITY PUBLIC LIBRARY
2019,34.8094,NATIONAL CITY PUBLIC LIBRARY
2010,20.66519,NEVADA COUNTY LIBRARY
2011,23.21318,NEVADA COUNTY LIBRARY
2012,24.117,NEVADA COUNTY LIBRARY
2013,25.59933,NEVADA COUNTY LIBRARY
2014,26.20682,NEVADA COUNTY LIBRARY
2015,29.77516,NEVADA COUNTY LIBRARY
2016,29.44894,NEVADA COUNTY LIBRARY
2017,37.05827,NEVADA COUNTY LIBRARY
2018,40.954,NEVADA COUNTY LIBRARY
2019,44.95134,NEVADA COUNTY LIBRARY
2010,76.77832,NEWPORT BEACH PUBLIC LIBRARY
2011,76.76294,NEWPORT BEACH PUBLIC LIBRARY
2012,78.18017,NEWPORT BEACH PUBLIC LIBRARY
2013,83.40029,NEWPORT BEACH PUBLIC LIBRARY
2014,84.95287,NEWPORT BEACH PUBLIC LIBRARY
2015,91.76381,NEWPORT BEACH PUBLIC LIBRARY
2016,97.60601,NEWPORT BEACH PUBLIC LIBRARY
2017,99.77891,NEWPORT BEACH PUBLIC LIBRARY
2018,102.6006,NEWPORT BEACH PUBLIC LIBRARY
2019,100.51075,NEWPORT BEACH PUBLIC LIBRARY
2010,54.7453,OAKLAND PUBLIC LIBRARY
2011,53.4537,OAKLAND PUBLIC LIBRARY
2012,54.62497,OAKLAND PUBLIC LIBRARY
2013,61.02171,OAKLAND PUBLIC LIBRARY
2014,61.41256,OAKLAND PUBLIC LIBRARY
2015,61.94924,OAKLAND PUBLIC LIBRARY
2016,64.28863,OAKLAND PUBLIC LIBRARY
2017,67.89823,OAKLAND PUBLIC LIBRARY
2018,72.00854,OAKLAND PUBLIC LIBRARY
2019,88.43809,OAKLAND PUBLIC LIBRARY
2010,30.10113,OCEANSIDE PUBLIC LIBRARY
2011,27.8087,OCEANSIDE PUBLIC LIBRARY
2012,26.24615,OCEANSIDE PUBLIC LIBRARY
2013,28.31262,OCEANSIDE PUBLIC LIBRARY
2014,28.25485,OCEANSIDE PUBLIC LIBRARY
2015,28.95495,OCEANSIDE PUBLIC LIBRARY
2016,30.50041,OCEANSIDE PUBLIC LIBRARY
2017,33.19743,OCEANSIDE PUBLIC LIBRARY
2018,29.68939,OCEANSIDE PUBLIC LIBRARY
2019,33.67122,OCEANSIDE PUBLIC LIBRARY
2010,23.97578,ONTARIO CITY LIBRARY
2011,23.78475,ONTARIO CITY LIBRARY
2012,24.00195,ONTARIO CITY LIBRARY
2013,25.64954,ONTARIO CITY LIBRARY
2014,25.44327,ONTARIO CITY LIBRARY
2015,26.89251,ONTARIO CITY LIBRARY
2016,28.13768,ONTARIO CITY LIBRARY
2017,32.59974,ONTARIO CITY LIBRARY
2018,28.75769,ONTARIO CITY LIBRARY
2019,28.17054,ONTARIO CITY LIBRARY
